Row.names	hda6_1	hda6_2	ldl1_1	ldl1_2	input_1	input_2	logFC	logCPM	PValue	FDR	DHMG
AT1G21945	92.1989771218677	120.420589704785	117.532810135129	77.9131376121662	154.074044251466	132.258746408039	-0.404261951337453	6.88593863794965	0.118135912208131	0.275362336785217	No
AT1G22560	446.326866521769	489.946516936135	467.155726359879	449.412011154234	585.481368155571	549.839732258141	-0.272840860281703	8.9682261702557	0.101833188732909	0.249031914551719	No
AT1G22580	48.1949198591581	47.2237606685432	65.4613119739957	63.2338508156711	68.1169458795955	114.42610644291	-0.942529113496025	6.14337440843199	0.0030271941442191	0.0217590032134201	No
AT1G23920	31.431469473364	42.5013846016888	38.6816843482702	35.0044531301036	42.1676331635591	52.0118665649592	-0.306629025208319	5.43856385198405	0.360043907193631	0.574744936514005	No
AT1G23930	29.3360381751397	44.862572635116	31.2428988966798	29.3585735929901	27.5711447607886	41.6094932519674	0.148572253397301	5.21994474997758	0.793973217519604	0.914662770950123	No
AT1G23990	150.871053472147	289.245534094827	249.943191173438	224.706005577117	288.686103965905	257.087226163941	-0.280834300339037	7.95420844558753	0.249847193376739	0.455253779528204	No
AT1G24370	121.535015297007	139.310093972202	108.60626759322	127.596877538765	147.586716072457	118.884266434193	-0.0146117492235413	7.02625585828943	0.970465935643498	1	No
AT1G24640	362.509614592798	410.846717816325	397.231143114929	354.561234930727	444.381980262123	453.246265780359	-0.207714556277258	8.66784660854703	0.217363544333239	0.418328359730095	No
AT1G24938	119.439583998783	141.671282005629	117.532810135129	123.080173909074	113.528243132659	127.800586416757	0.128808142355724	6.99074669229181	0.634943941165501	0.805239774505514	No
AT1G24967	104.771564911213	122.781777738212	80.3388828771766	86.9465448715477	181.645189012255	161.979813016587	-0.575269869093449	6.9694272538467	0.00950603279893654	0.0470451817944832	No
AT1G25430	727.114660483821	808.706901448801	717.098917533317	660.567905842278	660.085642214175	705.875331953018	0.172307297894387	9.48431781713526	0.294396076536163	0.506402770701034	No
AT1G25784	77.5309580342979	89.725145270232	71.4123403352681	64.3630267230938	87.5789304166227	90.6492531560718	-0.0730014190946088	6.37349339770699	0.788132244118932	0.911172149364711	No
AT1G25886	113.15329010411	166.463756356615	174.067579567216	143.405340242683	162.183204475227	173.868239660007	-0.235047860001745	7.31544722646694	0.310731480821951	0.523055587023015	No
AT1G26860	35.6223320698125	66.1132649359604	71.4123403352681	41.7795085746398	82.7134342823659	49.0397599041044	-0.318130747490995	5.92872087009999	0.398336603713785	0.608496189547907	No
AT1G26950	67.0538015431765	75.558017069669	53.559255251451	62.1046749082484	68.1169458795955	78.7608265126526	-0.0291310296886391	6.13850752400276	0.95204767870456	1	No
AT1G26990	400.227377960835	508.836021203552	443.351612914789	462.962122043306	632.514497453386	594.421332170963	-0.421079331114953	8.99564907573411	0.0162274063847242	0.0671639099889486	No
AT1G27285	521.762393257842	433.278004133883	569.810965591826	371.498873542068	580.615872021314	701.417171961736	-0.431000029793838	9.05241936952621	0.0470476874865797	0.145159782023811	No
AT1G27780	64.9583702449523	99.1698974039406	83.3143970578127	97.109128038352	100.553586774641	93.6213598169266	-0.19695369885106	6.54948997795151	0.454374936646025	0.66150220435919	No
AT1G27790	14.6680190875699	18.8895042674173	11.9020567225447	18.0668145187632	17.840152492275	26.7489599476933	-0.373897454039057	4.39702437472709	0.443979374188599	0.65022570261092	No
AT1G27800	25.1451755786912	25.9730683676987	22.3163563547713	31.6169254078355	17.840152492275	29.7210666085481	0.0960557809633148	4.84081813376317	0.911973630836036	0.983540503219964	No
AT1G27810	27.2406068769155	27.1536623844123	41.6571985289064	22.583518148454	35.68030498455	40.12343992154	-0.478928118092973	5.12675616043628	0.232061825981549	0.435333046143977	No
AT1G27815	52.3857824556067	70.8356410028147	53.559255251451	76.7839617047435	55.1422895215773	63.9002932083785	0.0819716861650127	6.0439252773468	0.854016032393233	0.951262721013353	No
AT1G28323	268.215206172706	262.091871710414	296.063660973299	278.906449133406	444.381980262123	490.397599041044	-0.819917393829765	8.41919965471039	2.82612263095109e-06	0.000217992560677767	No
AT1G28465	35.6223320698125	64.9326709192468	66.9490690643138	46.2962122043306	61.6296177005864	74.3026665213703	-0.374499594407337	5.94739114007166	0.254854109482952	0.461361590589964	No
AT1G29075	48.1949198591581	97.989303387227	83.3143970578127	75.6547857973208	77.8479381481091	93.6213598169266	-0.172531311054033	6.38496001171078	0.526859201377013	0.725337376710576	No
AT1G29360	100.580702314765	116.878807654644	163.653279934989	125.338525723919	227.056486265318	258.573279494369	-1.14383214986808	7.3921601217864	4.72723748095371e-07	7.09631072621628e-05	No
AT1G29475	157.15734736682	170.005538406755	147.28795194149	125.338525723919	207.594501728291	263.031439485651	-0.519892126879946	7.4968955006512	0.0158488937731283	0.0663003562663661	No
