GSM2130900	 FRiP score: 0.2829839929424214
GSM2130901	 FRiP score: 0.36425226738081173
GSM2130902	 FRiP score: 0.2997082311007701
GSM2130903	 FRiP score: 0.34425872488011583
GSM2130904	 FRiP score: 0.3379779742726128
GSM2130905	 FRiP score: 0.17595973824785993
GSM2130906	 FRiP score: 0.29394026423739145
GSM2130907	 FRiP score: 0.18723875159666672
GSM2130908	 FRiP score: 0.2752201522930583
GSM2130909	 FRiP score: 0.20723495623296487
GSM2130910	 FRiP score: 0.2581920501836219
GSM2130911	 FRiP score: 0.34206005008819185
GSM2130912	 FRiP score: 0.27134348575241773
GSM2130913	 FRiP score: 0.36470295170791156
GSM2130914	 FRiP score: 0.27618656846243284
GSM2130915	 FRiP score: 0.29577194049256283
GSM2130916	 FRiP score: 0.29070675943764973
GSM2130917	 FRiP score: 0.2606284512475135
GSM2130918	 FRiP score: 0.14597563910197192
GSM2130919	 FRiP score: 0.3055981323265865
GSM2130920	 FRiP score: 0.1610016581300382
GSM2130921	 FRiP score: 0.22159611988046096
GSM2130922	 FRiP score: 0.3056667711705553
GSM2130923	 FRiP score: 0.4041699230505674
GSM2130924	 FRiP score: 0.3701450900807369
GSM2130925	 FRiP score: 0.42866660822724845
GSM2130926	 FRiP score: 0.3499771360588533
GSM2130927	 FRiP score: 0.3456688435859556
GSM2130928	 FRiP score: 0.34431031487338676
GSM2130929	 FRiP score: 0.21167223911551955
GSM2130930	 FRiP score: 0.14342465973242316
GSM2130931	 FRiP score: 0.21508657878750212
GSM2130932	 FRiP score: 0.16564656065291591
GSM2130933	 FRiP score: 0.2513783318325202
GSM2130934	 FRiP score: 0.18311940446059133
GSM2130935	 FRiP score: 0.42878192191774617
GSM2130936	 FRiP score: 0.3978741133198941
GSM2130937	 FRiP score: 0.4325113642887169
GSM2130938	 FRiP score: 0.3092778093724307
GSM2130939	 FRiP score: 0.39156665400574925
GSM2130940	 FRiP score: 0.29147847587513703
GSM2130941	 FRiP score: 0.36646613449848825
GSM2130942	 FRiP score: 0.4220738324066579
GSM2130943	 FRiP score: 0.4014017474952476
GSM2130944	 FRiP score: 0.38812684453843876
GSM2130945	 FRiP score: 0.3724052247038394
GSM2130946	 FRiP score: 0.3574138714918924
GSM2130947	 FRiP score: 0.4435810392449295
GSM2130948	 FRiP score: 0.1544016610792234
GSM2130949	 FRiP score: 0.47505679892726066
GSM2130950	 FRiP score: 0.3108777413932418
GSM2130951	 FRiP score: 0.38594253336962936
GSM2130952	 FRiP score: 0.313868468081116
GSM2130953	 FRiP score: 0.40443400552144276
GSM2130954	 FRiP score: 0.40741890243362594
GSM2130955	 FRiP score: 0.39644266064871836
GSM2130956	 FRiP score: 0.3000329922474866
GSM2130957	 FRiP score: 0.43378725856926476
GSM2130958	 FRiP score: 0.3590812119114188
GSM2130959	 FRiP score: 0.3512638120204952
GSM2130960	 FRiP score: 0.35391843778981563
GSM2130961	 FRiP score: 0.4232763171737015
GSM2130962	 FRiP score: 0.3955301676554224
GSM2130963	 FRiP score: 0.4935491050916957
GSM2130964	 FRiP score: 0.2992160201495822
GSM2130965	 FRiP score: 0.4203383896610432
GSM2130966	 FRiP score: 0.22756834368926038
GSM2130967	 FRiP score: 0.45675520048906604
GSM2130968	 FRiP score: 0.3030577225023541
GSM2130969	 FRiP score: 0.32369344784598075
GSM2130970	 FRiP score: 0.30136719266924505
GSM2130971	 FRiP score: 0.36124126830340136
GSM2130972	 FRiP score: 0.28557124078855634
GSM2130973	 FRiP score: 0.29935054756678536
GSM2130974	 FRiP score: 0.19939178699785212
GSM2130975	 FRiP score: 0.44950407787675883
GSM2130976	 FRiP score: 0.4046522693259889
GSM2130977	 FRiP score: 0.461863767698589
GSM2130978	 FRiP score: 0.29736613639862125
GSM2130979	 FRiP score: 0.3932094027651721
GSM2130980	 FRiP score: 0.3122017766887777
GSM2476320	 FRiP score: 0.08304012511645988
GSM2476324	 FRiP score: 0.18206847928946876
GSM867186	 FRiP score: 0.3880995023292943
GSM956128	 FRiP score: 0.07542396117706684
GSM958793	 FRiP score: 0.33234644261859386
GSM958795	 FRiP score: 0.5735951004365887
GSM958796	 FRiP score: 0.0456345578769626
GSM958797	 FRiP score: 0.026891157885510178
GSM958798	 FRiP score: 0.09426899771442214
GSM1067405	 FRiP score: 0
GSM1103234	 FRiP score: 0.010686347015139186
GSM1184360	 FRiP score: 0.5646561164527895
GSM1184361	 FRiP score: 0.5421784391323352
GSM1184362	 FRiP score: 0.5153395324428671
GSM1348068	 FRiP score: 0.0004168643291923517
GSM1400501	 FRiP score: 0.6092215731252625
GSM1400502	 FRiP score: 0.5337080766163479
GSM1400503	 FRiP score: 0.48506368922834436
GSM1499340	 FRiP score: 0.08420513689450027
GSM1499341	 FRiP score: 0.37248044920901097
GSM1499342	 FRiP score: 0.41406599426641444
GSM1499339	 FRiP score: 0.3587659292481687
GSM1499343	 FRiP score: 0.15463047724011822
GSM1499345	 FRiP score: 0.13357994159896902
GSM1499344	 FRiP score: 0.1355570666225101
GSM1499346	 FRiP score: 0.14925380632644425
GSM1848701	 FRiP score: 0.30876697159296634
GSM1848702	 FRiP score: 0.46076241004053275
