GSM1925500	 FRiP score: 0.22941777281461445
GSM1925501	 FRiP score: 0.27623953550673513
GSM1925502	 FRiP score: 0.35561857714138034
GSM1925503	 FRiP score: 0.3742981740503045
GSM1925504	 FRiP score: 0.2441272930005286
GSM1925505	 FRiP score: 0.21569065957562875
GSM1925506	 FRiP score: 0.634106331633416
GSM1925507	 FRiP score: 0.012943299225939337
GSM1925508	 FRiP score: 0.13392472994676116
GSM1925509	 FRiP score: 0.48895628149126025
GSM1925510	 FRiP score: 0.0020833954795063973
GSM1925511	 FRiP score: 0.0008873039405555333
GSM1925512	 FRiP score: 0.17265562555962796
GSM1925513	 FRiP score: 0.4907341004077375
GSM1925514	 FRiP score: 0.45710963232295143
GSM1925515	 FRiP score: 0.008403237109073545
GSM1925516	 FRiP score: 0.13975217117441108
GSM1925517	 FRiP score: 0.028357889183681664
GSM1925518	 FRiP score: 0.010417733199378583
GSM1925519	 FRiP score: 0.26902588958161805
GSM1925520	 FRiP score: 0.2892368207615238
GSM1925521	 FRiP score: 0.3226181774539163
GSM1925522	 FRiP score: 0.4819870703171929
GSM1925523	 FRiP score: 0.0043449621240911045
GSM1925524	 FRiP score: 0.4727641310343013
GSM1925525	 FRiP score: 0.03578175782106753
GSM1925526	 FRiP score: 0.4795844109384629
GSM1925527	 FRiP score: 0.38555390613584134
GSM1925528	 FRiP score: 0.24634100009256468
GSM1925529	 FRiP score: 0.3315703348666954
GSM1925530	 FRiP score: 0.017371015563049905
GSM1925531	 FRiP score: 0.45652340876990866
GSM1925532	 FRiP score: 0.8414770478280967
GSM1925533	 FRiP score: 0.48085202566364804
GSM1925534	 FRiP score: 0.22306602796151492
GSM1925535	 FRiP score: 0.5024097637408826
GSM1925536	 FRiP score: 0.13926808242849137
GSM1925537	 FRiP score: 0.05922636179705963
GSM1925538	 FRiP score: 0.0016036482348184581
GSM1925539	 FRiP score: 0.43847724285262923
GSM1925540	 FRiP score: 0.02950721955236225
GSM1925541	 FRiP score: 0.5724641079252258
GSM1925542	 FRiP score: 0.17691665091999856
GSM1925543	 FRiP score: 0.44117379614004776
GSM1925544	 FRiP score: 0.4483084490053464
GSM1925545	 FRiP score: 0.2405932340245377
GSM1925546	 FRiP score: 0.09226290454731667
GSM1925547	 FRiP score: 0.3220316406197747
GSM1925548	 FRiP score: 0.10553651765418104
GSM1925549	 FRiP score: 0.4430497973656103
GSM1925550	 FRiP score: 0.21173953437946233
GSM1925551	 FRiP score: 0.03696268139589849
GSM1925552	 FRiP score: 0.3495177527156237
GSM1925553	 FRiP score: 0.6737706581181989
GSM1925554	 FRiP score: 0.33086322090856496
GSM1925555	 FRiP score: 0.6607794808758136
GSM1925556	 FRiP score: 0.5258863122641828
GSM1925557	 FRiP score: 0.29553748207400643
GSM1925558	 FRiP score: 0.29236183887563905
GSM1925559	 FRiP score: 0.14315869946908688
GSM1925560	 FRiP score: 0.3629158740890287
GSM1925561	 FRiP score: 0.12283316169228016
